input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
Léa Van Damme,391.0,Lea VAN HAMME,0.8461538461538461,https://utmb.world/runner/6837474.lea.vanhamme,,,,,391.0,ITRA skipped because UTMB 391.0 <= threshold 680.0
Clement Gault,391.0,Clément GAULT,1.0,https://utmb.world/runner/6659228.clement.gault,,,,,391.0,ITRA skipped because UTMB 391.0 <= threshold 680.0
Anaïs CUINET,390.0,Anaïs CUINET,1.0,https://utmb.world/runner/7383968.anais.cuinet,,,,,390.0,ITRA skipped because UTMB 390.0 <= threshold 680.0
SOFIA PANDIELLA,389.0,Sofia PANDIELLA,1.0,https://utmb.world/runner/2087251.sofia.pandiella,,,,,389.0,ITRA skipped because UTMB 389.0 <= threshold 680.0
Kevin Dijol,389.0,Kevin DIJOL,1.0,https://utmb.world/runner/6748246.kevin.dijol,,,,,389.0,ITRA skipped because UTMB 389.0 <= threshold 680.0
Baptiste Mouillevois,388.0,Baptiste MOUILLEVOIS,1.0,https://utmb.world/runner/557699.baptiste.mouillevois,,,,,388.0,ITRA skipped because UTMB 388.0 <= threshold 680.0
Serge DOMINGUES,387.0,Serge DOMINGUES,1.0,https://utmb.world/runner/1916763.serge.domingues,,,,,387.0,ITRA skipped because UTMB 387.0 <= threshold 680.0
Stephane Guglielmone,387.0,Stephane GUGLIELMONE,1.0,https://utmb.world/runner/7833798.stephane.guglielmone,,,,,387.0,ITRA skipped because UTMB 387.0 <= threshold 680.0
ROMAIN SOUILLIART,385.0,Romain SOUILLIART,1.0,https://utmb.world/runner/6079062.romain.souilliart,,,,,385.0,ITRA skipped because UTMB 385.0 <= threshold 680.0
Julien Chevalon,383.0,Julien CHEVALON,1.0,https://utmb.world/runner/7647076.julien.chevalon,,,,,383.0,ITRA skipped because UTMB 383.0 <= threshold 680.0
jean-luc mermillon,383.0,Jean-Luc MERMILLON,1.0,https://utmb.world/runner/4260642.jeanluc.mermillon,,,,,383.0,ITRA skipped because UTMB 383.0 <= threshold 680.0
Arsène Lambert,379.0,Arsène LAMBERT,1.0,https://utmb.world/runner/8103042.arsene.lambert,,,,,379.0,ITRA skipped because UTMB 379.0 <= threshold 680.0
Sebastien GINOUX,377.0,Sébastien GINOUX,1.0,https://utmb.world/runner/6975512.sebastien.ginoux,,,,,377.0,ITRA skipped because UTMB 377.0 <= threshold 680.0
Ambre Étienne,377.0,Ambre ETIENNE,1.0,https://utmb.world/runner/7560444.ambre.etienne,,,,,377.0,ITRA skipped because UTMB 377.0 <= threshold 680.0
elise seguy,376.0,Elise SEGUY,1.0,https://utmb.world/runner/8116594.elise.seguy,,,,,376.0,ITRA skipped because UTMB 376.0 <= threshold 680.0
Evgeniy VODOPYANOV,373.0,Evgeniy VODOPYANOV,1.0,https://utmb.world/runner/1323871.evgeniy.vodopyanov,,,,,373.0,ITRA skipped because UTMB 373.0 <= threshold 680.0
Pierre Bioche,373.0,Pierre BOCHE,0.822,https://utmb.world/runner/4012813.pierre.boche,,,,,373.0,ITRA skipped because UTMB 373.0 <= threshold 680.0
Eline Gicquel,372.0,Eline GICQUEL,1.0,https://utmb.world/runner/7463768.eline.gicquel,,,,,372.0,ITRA skipped because UTMB 372.0 <= threshold 680.0
Margaux Savreux,368.0,Margaux SAVREUX,1.0,https://utmb.world/runner/4875467.margaux.savreux,,,,,368.0,ITRA skipped because UTMB 368.0 <= threshold 680.0
Natalia Volkov,367.0,Natalia VOLKOV,1.0,https://utmb.world/runner/6963283.natalia.volkov,,,,,367.0,ITRA skipped because UTMB 367.0 <= threshold 680.0
Jonathan VINCENT,363.0,Jonathan VINCENT,1.0,https://utmb.world/runner/7158450.jonathan.vincent,,,,,363.0,ITRA skipped because UTMB 363.0 <= threshold 680.0
Clément Danne,357.0,Clément DANNE,1.0,https://utmb.world/runner/6717872.clement.danne,,,,,357.0,ITRA skipped because UTMB 357.0 <= threshold 680.0
Jean-Baptiste De Givry,356.0,Jean-Baptiste DE GIVRY,1.0,https://utmb.world/runner/6329754.jeanbaptiste.degivry,,,,,356.0,ITRA skipped because UTMB 356.0 <= threshold 680.0
guillaume HUSSON,348.0,Guillaume HUSSON,1.0,https://utmb.world/runner/8331354.guillaume.husson,,,,,348.0,ITRA skipped because UTMB 348.0 <= threshold 680.0
Jacques Guery,336.0,Jacques GUERY,1.0,https://utmb.world/runner/7646634.jacques.guery,,,,,336.0,ITRA skipped because UTMB 336.0 <= threshold 680.0
Thomas LEWI,336.0,Thomas LEWI,1.0,https://utmb.world/runner/7731797.thomas.lewi,,,,,336.0,ITRA skipped because UTMB 336.0 <= threshold 680.0
Matthieu Valente,332.0,Matthieu VALENTE,1.0,https://utmb.world/runner/7158454.matthieu.valente,,,,,332.0,ITRA skipped because UTMB 332.0 <= threshold 680.0
Jonathan Goncalves,285.0,Jonathan GONCALVES,1.0,https://utmb.world/runner/6266452.jonathan.goncalves,,,,,285.0,ITRA skipped because UTMB 285.0 <= threshold 680.0
Loïc Cherfa,0.0,Loïc CHERFA,1.0,https://utmb.world/runner/3036391.loic.cherfa,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Erwan Jehanno,,,,,,,,,0.0,UTMB not found; ITRA not found
Marc Buttin,0.0,Marc BUTTIN,1.0,https://utmb.world/runner/181266.marc.buttin,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Anaë Duperray,,,,,,,,,0.0,UTMB not found; ITRA not found
Aurelie Roy,0.0,Aurélie LE ROY,0.9159999999999999,https://utmb.world/runner/430798.aurelie.leroy,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Pierre Daly,,,,,,,,,0.0,UTMB not found; ITRA not found
Anthony BOUEDO,0.0,Anthony BOUEDO,1.0,https://utmb.world/runner/3833569.anthony.bouedo,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
MOISE LEULLIEUX,0.0,Moïse LEULLIEUX,1.0,https://utmb.world/runner/2598057.moise.leullieux,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Mohamed Hamma,0.0,Mohamed HAMMA,1.0,https://utmb.world/runner/4404138.mohamed.hamma,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Marty Zwisler,,,,,,,,,0.0,UTMB not found; ITRA not found
Renaud Jacquet,,,,,,Renaud JACQUET,1.0,https://itra.run/RunnerSpace/JACQUET.Renaud/4624437,0.0,UTMB not found; ITRA score missing in response
Pamela Amirault,,,,,,,,,0.0,UTMB not found; ITRA not found
oscar koenig,,,,,,,,,0.0,UTMB not found; ITRA not found
Joris BRAU,0.0,Joris BRAU,1.0,https://utmb.world/runner/181077.joris.brau,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Marine Michelin,,,,,,,,,0.0,UTMB not found; ITRA not found
Kim Leforestier,0.0,Kim LEFORESTIER,1.0,https://utmb.world/runner/4975250.kim.leforestier,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Alice Bellec,,,,,,,,,0.0,UTMB not found; ITRA not found
hugo willems,0.0,Hugo WILLEMSE,0.822,https://utmb.world/runner/4276849.hugo.willemse,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Morgane Rossini,0.0,Morgane ROSSINI,1.0,https://utmb.world/runner/3334423.morgane.rossini,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Robin Voiseux,,,,,,,,,0.0,UTMB not found; ITRA not found
Jonathan Sasse,,,,,,,,,0.0,UTMB not found; ITRA not found
LUDOVIC PIGANIOL,0.0,Ludovic PIGANIOL,1.0,https://utmb.world/runner/667455.ludovic.piganiol,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Justine Duchamp,,,,,,,,,0.0,UTMB not found; ITRA not found
Marc Riou,0.0,Marc RIOU,1.0,https://utmb.world/runner/42002.marc.riou,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Florent Peitavino,0.0,Florent PEITAVINO,1.0,https://utmb.world/runner/5990650.florent.peitavino,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Romain Guenebaut,,,,,,,,,0.0,UTMB not found; ITRA not found
